1:1	Lii mooy cosaanu Yeesu Kirist, sëtu Daawuda, sëtu Ibraayma.
13:21	waaye du yàgg, ndaxte wax ji saxul ci moom. Bu jaaree ci nattu nag, mbaa ñu fitnaal ko ndax kàddu gi, mu dàggeeku ci saa si.
13:22	Ki jot ci jiwu wi ci xaaxaam yi mooy ki dégg wax ji, waaye soxlay àddina ak naxi alal tanc wax ji, ba du jur njariñ.
13:23	Ki jot ci jiwu wi ci suuf su baax si nag, mooy ki dégg wax ji te xam ko; mu jural ko njariñ, muy lu mat téeméeri yoon lu ëpp la ñu ji woon, muy juróom-benn-fukk mbaa fanweer.»
13:24	Noonu Yeesu dégtal leen beneen léeb ne leen: «Nguuru Yàlla Aji Kawe ji dafa mel ni nit ku ji jiwu wu baax ci toolam.
13:25	Waaye bi nit ñi di nelaw, noonam ñëw, ji jëmb ci biir dugub ji, daldi dem.
13:26	Bi dugub ji saxee nag, jëmb bi saxaale ak moom.
13:27	«Noonu surgay boroom kër ga ñëw ci moom ne ko: “Góor gi, xanaa jiwuloo jiwu wu baax ci sa tool? Fu jëmb bi jóge nag?”
13:28	Mu tontu leen: “Noon a ko def.” Surga ya ne ko: “Ndax nu dem dindi ko?”
13:29	Waaye mu tontu leen: “Déedéet, ngir bañ a buddiwaale dugub ji, bu ngeen koy dindi.
13:30	Bàyyileen ñoom ñaar, ñu màgg, ba ngóob ma jot. Bu ngóob ma jotee nag, dinaa wax ñi koy góob: Jëkkleen a dindi jëmb bi, takk ko ay say, lakk ko, waaye ngeen semb dugub ji ci sama sàq.”»
13:31	Yeesu waxaat leen beneen léeb ne leen: «Nguuru Yàlla Aji Kawe ji dafa mel ni doomu fuddën bu nit jël, ji ko ci toolam.
13:32	Doomu fuddën moo gën a tuuti ci jiwu yépp, waaye bu saxee, mooy sut ci gàncaxi tóokër yi, di nekk garab, ba picci asamaan ñëw, tàgg ciy caram.»
13:33	Yeesu teg ca beneen léeb ne leen: «Nguuru Yàlla Aji Kawe ji dafa mel ni lawiir bu jigéen jël, jaxase ko ak ñetti andaari fariñ, ba kera tooyal bépp di funki.»
13:34	Loolu Yeesu wax mbooloo ma, ëmb na ko lépp ciy léeb, te waxuleen dara lu dul ciy léeb.
13:35	Noonu am la ñu waxoon jaarale ko cib yonent, bi mu naan:«Dinaa leen wax ciy léeb,di yégle yëf yu nëbbuli dale ca njàlbéen ga ba bésu tey.»
13:36	Ci kaw loolu Yeesu bàyyi mbooloo ma, dugg ca kër ga. Taalibeem yi ñëw ci moom ne ko: «Firil nu léebu jëmb, bi sax ci tool bi.»
13:37	Noonu Yeesu tontu leen ne: «Doomu nit ki mooy ji jiwu wu baax wi;
13:38	àddina mooy tool bi; ñi bokk ci nguuru Yàlla ñoo di jiwu wu baax wi; ñi bokk ci Ibliis ñooy jëmb bi;
13:39	Seytaane mooy noon bi ko ji; tukkitel àddina mooy ngóob mi, te malaaka yi ñooy góobkat yi.
13:40	Ni ñu dajalee jëmb ba, lakk ko, noonu lay nekke, bu àddina tukkee.
13:41	Doomu nit ki dina yebal ay malaakaam, ñu jële ci nguuram lépp luy yóbbe nit bàkkaar, ak ñiy def bàkkaar,
13:42	sànni leen ci safara; foofa dees na fa jooy te yéyu.
13:43	Booba nag ñu jub ñi dinañu leer ni jant bi ci seen nguuru Baay. Déglul bu baax, yaw mi am ay nopp.»
13:44	Yeesu teg ca ne: «Nguuru Yàlla Aji Kawe ji dafa mel ni alal ju nëbbu cib tool. Nit ki ko gis nëbbaat ko; xolam sedd, ba mu dem jaay li mu am lépp, jënd tool ba.
13:45	«Te it nguuru Yàlla Aji Kawe ji dafa mel ni jaaykat buy wut per yu rafet.
13:46	Am bés mu gis per buy jar njëg gu réy. Mu dem nag, jaay li mu am lépp, jënd ko.»
13:47	Yeesu waxaat ne: «Nguuru Yàlla Aji Kawe ji dafa mel ni mbaal mu ñu wàcce ci géej, mu jàpp jën wu nekk.
13:48	Bi mbaal mi feesee nag, ñu ñoddi ko ci tefes gi, ba noppi ñu taxaw, dajale yu baax yi ciy ndab, waaye sànni yi bon.
13:49	Noonu lay mel, bu àddina tukkee. Malaaka yi dinañu génn, tànn ñu bon ñi ci biir ñu jub ñi,
13:50	sànni leen ci safara. Foofa dees na fa jooy te yéyu.»
13:51	Noonu Yeesu laaj taalibe ya ne leen: «Loolu lépp, ndax xam ngeen lu muy tekki?» Ñu tontu ko: «Waaw.»
13:52	Yeesu ne leen: «Kon xutbakat bu nekk bu jàng ci nguuru Yàlla Aji Kawe ji, dafa mel ni boroom kër buy génne ci dencukaayam yu bees ak yu màggat.»
13:53	Bi nga xamee ne Yeesu dégtal na léeb yooyu ba noppi, mu jóge fa,
13:54	dem fa mu yaroo. Mu di leen jàngal ci seen jàngu, ba ñu waaru ne: «Xam-xam bii ak kéemaan yii, fu mu ko jële?
13:55	Ndax kii du doomu minise bi, te ndeyam tudd Maryaama? Ndax rakkam yu góor duñu Saag, Yuusufa, Simoŋ ak Yuda?
13:56	Te ay rakkam yu jigéen, ndax nekkuñu fi ak nun? Lii lépp nag, fu mu ko jële?»
13:57	Kon ñu daldi koy xeeb.Noonu Yeesu ne leen: «Dees na faaydaal yonent, waaye du ci réewam ak ci këram.»
13:58	Te Yeesu defu fa kéemaan yu bare ndax seen ngëmadi.
14:1	Ca jamono joojale Erodd boroom diiwaanu Galile dégg na tur, wa Yeesu am.
14:2	Noonu mu ne ay surgaam: «Kooku mooy Yaxya, mi dekki; moo tax mu ànd ak kàttanu def ay kéemaan.»
14:3	Ndaxte Erodd jàppoon na Yaxya, yeew ko, tëj. Ndaxte Erodd takkoon na Erojàdd, jabaru Filib magam,
14:4	te Yaxya daan ko wax: «Jaaduwul nga denc ko.»
14:5	Erodd nag bëgg koo rey, waaye dafa ragal nit ñi, ci li ñu teg Yaxya ab yonent.
14:6	Bi ñu ca tegee ab diir nag, ñuy màggal bés ba Erodd juddu woon, te doomu Erojàdd ju jigéen di fecc ci biir gan ñi. Loolu neex Erodd,
14:7	ba mu dig ko ci kaw ngiñ ne ko: «Loo laaj, dinaa la ko jox.»
14:8	Noonu ndaw sa daldi topp la ko ndey ji digaloon, ne Erodd: «Indil ma fii ci biir ndab boppu Yaxya.»
14:9	Bi ko buur ba déggee, mu am naqar, waaye ngiñ la ak gan ña tax mu santaane, ñu jox ko ko.
14:10	Mu yónnee nag, ngir ñu dagg boppu Yaxya ca kaso ba.
14:11	Ñu indi bopp bi ci biir ndab, jox ko janq ba, mu jox ko ndeyam.
14:12	Noonu taalibey Yaxya ñëw, fab néew wa, suul ko; ba noppi dem, wax ko Yeesu.
14:13	Bi Yeesu déggee deewu Yaxya nag, mu jóge fa, dugg cig gaal, di dem ca bérab bu wéet. Waaye bi ko nit ñi yégee, ñu daldi jóge ci dëkk yi, topp ko ak seeni tànk.
14:14	Yeesu génn ci gaal gi nag, gis mbooloo mu réy, mu yërëm leen, ba faj ñi ci wopp.
14:15	Ca ngoon sa taalibe yi ñëw ci moom ne ko: «Fii àllub neen la, te léegi mu guddi. Doo yiwi mbooloo mi, ngir ñu dem ci dëkk yu ndaw yi, jënd lu ñu man a lekk?»
14:16	Waaye Yeesu tontu leen ne: «Matul ñu dem, yéen joxleen leen lu ñu lekk.»
14:17	Ñu ne ko: «Amunu fi lu dul juróomi mburu ak ñaari jën.»
14:18	Yeesu ne leen: «Indil-leen ma ko fii.»
14:19	Ci kaw loolu Yeesu sant mbooloo ma, ñu toog ca ñax ma. Mu jël juróomi mburu ya ak ñaari jën ya, xool ci kaw, sant Yàlla. Mu damm mburu ma, jox ko taalibe ya, ñu séddale ko nit ña.
14:20	Noonu ñépp lekk ba suur. Te ñu dajale dammit ya ca des, mu nekk fukki pañe ak ñaar yu fees.
14:21	Gannaaw jigéen ña ak gune ya, góor ña doon lekk matoon nañu juróomi junni.
14:22	Bi loolu amee Yeesu sant taalibe ya, ñu dugg gaal ga te jàll dex ga, jiituji ko, muy yiwi mbooloo ma.
14:23	Bi mu ko yiwee nag, mu yéeg ca tund wa, ngir wéet ak Yàlla. Noonu guddi jot, fekk mu nekk fa moom rekk.
14:24	Bi mu fa nekkee nag, gaal ga sore na tefes ga, te duus ya di ko yengal bu metti, ndax ngelaw la leen soflu.
14:25	Ca njël nag Yeesu jëm ci ñoom, di dox ci kaw dex gi.
14:26	Waaye bi ko taalibe yi gisee, muy dox ci kaw dex ga, ñu daldi jommi naan: «Njuuma la!» daldi tiit bay yuuxu.
14:27	Waaye ca saa sa Yeesu ne leen: «Takkleen seen fit, man la, buleen tiit!»
14:28	Ci kaw loolu Piyeer jël kàddu gi ne ko: «Sang bi, bu dee yaw, sant ma, ma dox ci kaw ndox mi, ñëw ci yaw.»
14:29	Yeesu ne ko: «Kaay!» Piyeer nag wàcc ca gaal ga, di dox ci kaw ndox mi, jëm ci Yeesu.
14:30	Waaye bi mu gisee ni ngelaw li mettee, mu daldi tiit, tàmbalee suux. Mu woote ne: «Sang bi, wallu ma!»
14:31	Ca saa sa Yeesu tàllal loxoom, jàpp ko naan: «Yaw mi néew ngëm, lu tax nga am xel ñaar?»
14:32	Noonu ñu dugg ca gaal ga, te ngelaw li ne tekk.
14:33	Ñi nekk ci gaal gi nag sukk ci kanamam ne ko: «Ci dëgg yaa di Doomu Yàlla ji.»
14:34	Bi loolu amee ñu jàll, teer ca diiwaanu Senesaret.
14:35	Ña fa dëkk xàmmi Yeesu, yónnee nag ca diiwaan bépp, indil ko ñu wopp ñépp.
14:36	Noonu ñu ñaan ko, mu may leen ñu laal cati mbubbam rekk, te ku ko laal daldi wér.
15:1	Ca jamono jooja amoon na bés ay Farisen ak ay xutbakat jóge Yerusalem, ñëw ci Yeesu ne ko:
15:2	«Lu tax say taalibe di moy aaday yoon, yi maam yi tëral? Ndaxte duñu raxas seeni loxo, bu ñuy lekk.»
15:3	Waaye Yeesu tontu leen ne: «Yéen itam lu tax ngeen di moy li Yàlla santaane, ngir topp seeni aada?
15:4	Yàlla nee na: “Teralal sa ndey ak sa baay,” te it: “Ku móolu sa ndey walla sa baay, dees na la rey.”
15:5	Waaye yéen dangeen ne, ku wax sa ndey walla sa baay: “Li ngeen war a jariñoo ci man, jébbal naa ko Yàlla,”
15:6	kooku amatul warugaru teral baayam. Noonu tebbi ngeen kàddug Yàlla ndax seen aada.
15:7	Yéen ñi naaféq, Esayi waxoon na bu baax ci kàddug Yàlla ci seen mbir, bi mu naan:
15:8	“Xeet wii ñu ngi may teral ci seen gémmiñ,waaye seen xol sore na ma.
15:9	Seen màggal amul benn njariñ,ci li ñuy jàngale dénkaaney nit kese.”»
15:10	Noonu Yeesu woo mbooloo mi ci moom ne leen: «Dégluleen te xam:
15:11	du li dugg ci gémmiñ mooy indil nit sobe, waaye li ciy génne mooy indil nit sobe.»
15:12	Bi taalibeem ya déggee loolu, ñu ñëw ci moom ne ko: «Ndax xam nga ne, Farisen yi dañoo mer ndax loolu nga wax?»
15:13	Yeesu tontu leen ne: «Garab gu sama Baay bi ci kaw jiwul, dees na ko buddi.
15:14	Bàyyileen leen, ay gumba lañu yuy wommat ay gumba; bu gumba dee wommat moroomam nag, kon dinañu daanu ñoom ñaar ci kàmb.»
15:15	Piyeer nag jël kàddu gi, laaj Yeesu: «Firil nu léeb wi.»
15:16	Noonu Yeesu ne ko: «Ndax ba tey seen xol dafa tëju, yéen itam?
15:17	Xamuleen ne, lépp lu dugg ci gémmiñ, ci biir lay jëm tey génn ca bérab bu làqu?
15:18	Waaye li génn ci gémmiñ mu ngi jóge ci xol; loolu mooy indil nit sobe.
15:19	Ndaxte ci xol la xalaat yu bon di jóge, ak bóom, njaaloo, ndoxaanu yàqute, càcc, seede lu dul dëgg ak saaga.
15:20	Yooyu ñooy indil nit sobe, waaye lekk ak loxo yoo raxasul du tax nit am sobe.»
15:21	Gannaaw loolu Yeesu jóge fa, dem ci diiwaanu Tir ak Sidon.
15:22	Ba mu fa àggee nag, jigéenu waa Kanaan, ja dëkk ca wàll yooyu, daldi génn, di wax ca kaw ne ko: «Yaw sang bi, Sëtu Daawuda bi, yërëm ma! Rab jàpp na sama doom ju jigéen, te dafa sonn lool.»
15:23	Waaye Yeesu tontuwu ko genn kàddu. Ay taalibeem nag ñëw ci moom ne ko: «Doo ko yiwi, mu ngi nuy topp, di yuuxu ci sunu kaw.»
15:24	Yeesu tontu ne: «Yónniwuñu ma, lu dul ci xar yu réeri bànni Israyil.»
15:25	Waaye jigéen ja ñëw, sukk ci kanamam naan: «Sang bi, wallusi ma!»
15:26	Yeesu tontu ko: «Jël ñamu gune yi, sànni ko xaj yi, rafetul.»
15:27	Waaye jigéen ja ne ko: «Waaw sang bi, teewul xaj yi di lekk ruusit, yi rot ci seen lekkukaayu boroom.»
15:28	Ci kaw loolu Yeesu tontu ko ne: «Yaw jigéen ji, sa ngëm réy na; na am, ni nga ko bëgge.» Noonu doomam daldi wér ca saa sa.
15:29	Bi loolu amee Yeesu jóge foofa, ñëw ci weti dexu Galile; mu yéeg ca aw tund, toog fa.
15:30	Ba mu fa nekkee, nit ñu bare ñëw ci moom, indaale ay lafañ, ay làggi, ay gumba, ay luu ak ñeneen ñu bare. Ñu teg leen ci tànki Yeesu, mu faj leen.
15:31	Nit ñépp waaru, ndaxte gis nañu luu yuy wax, làggi yu wér, lafañ yuy dox, ak gumba yuy gis. Ñu daldi màggal Yàlla Buuru Israyil.
15:32	Gannaaw loolu Yeesu woo ci moom taalibeem ya ne leen: «Yërëm naa mbooloo mi, ndaxte toog nañu fi man ñetti fan, te amatuñu lu ñu lekk. Bëgguma leen a yiwi te lekkuñu, ngir bañ ñu tële ci yoon wi.»
15:33	Noonu taalibeem ya laaj ko: «Waaye fu nuy jële ci àll bi mburu mu doy ngir mbooloo mu tollu nii?»
15:34	Yeesu ne leen: «Ñaata mburu ngeen am?» Ñu tontu ko: «Juróom-ñaari mburu ak ay jën yu ndaw.»
15:35	Ci kaw loolu Yeesu sant mbooloo mi, ñu toog ci suuf.
15:36	Mu fab juróom-ñaari mburu yi ak jën yi, sant Yàlla, damm leen, jox leen taalibe yi, ñu séddale leen mbooloo mi.
15:37	Noonu ñépp lekk ba suur. Te ñu dajale juróom-ñaari dàmba yu fees ak dammit yi ci des.
15:38	Gannaaw jigéen ñi ak gune yi, góor ñi ci lekk matoon nañu ñeenti junni.
15:39	Noonu Yeesu yiwi mbooloo mi, dugg ci gaal, ñëw ci wàlli Magadan.
16:1	Amoon na ay Farisen ak ay Sadusen yu ñëw ci Yeesu. Ñu fexe koo fiir, ba laaj ko ne: «Won nu kéemaan guy firndeel sag yónnent, te mu jóge ci asamaan.»
16:2	Noonu Yeesu tontu leen: «Ngoon gi dangeen naan: “Du taw suba ndax asamaan si dafa xonq.”
16:3	Te suba gi ngeen naan: “Tey daal dina taw, ndax asamaan si dafa xonq te xiin.” Kon man ngeen a ràññee melow asamaan, waaye mënuleen a ràññee firndey jamono ji nu tollu.
16:4	Yéenay laaj firnde, yéen niti jamono ju bon jii, yéen ñi fecci seen kóllëre ak Yàlla. Waaye dungeen jot genn firnde gu dul firndeg Yunus.» Bi Yeesu waxee loolu, mu jóge ci ñoom, dem.
16:5	Gannaaw loolu taalibe yi jàllaat dex gi, fekk fàtte nañoo yóbbaale mburu.
16:6	Noonu Yeesu ne leen: «Wottuleen te moytu lawiiru Farisen ya ak Sadusen ya.»
16:7	Bi ko taalibe yi déggee, ñu daldi werante ci seen biir naan: «Nun de indaalewunu mburu.»
16:8	Waaye Yeesu yég loolu ne leen: «Yéen ñi néew ngëm, lu tax ngeen di werante ci seen biir, ndaxte indaalewuleen mburu?
16:9	Ndax xamaguleen ba tey? Xanaa fàttalikuwuleen juróomi mburu ya ngir juróomi junniy góor ña, ak ñaata pañe ngeen dajale woon ciy dammit?
16:10	Te ndax fàttalikuwuleen itam juróom-ñaari mburu ya ngir ñeenti junniy góor ña, ak ñaata dàmba ngeen dajale woon ciy dammit?
16:11	Kon nag lu tax xamuleen ne, waxuma mburu? Waaye damaa bëgg, ngeen moytu lawiiru Farisen ya ak Sadusen ya.»
16:12	Noonu ñu xam ne, Yeesu waxul woon lawiiru mburu, waaye ñu moytu njàngalem Farisen ya ak Sadusen ya.
16:13	Bi ñu fa jógee, Yeesu dem ca diiwaanu Sesare bu Filib. Foofa mu laaj taalibeem ya: «Lu nit ñiy wax ci Doomu nit ki; mooy kan?»
16:14	Taalibe yi tontu ne: «Am na ñu naan, Yaxya, ñeneen ñi, Iliyas; ñi ci des ne, Yeremi walla keneen ci yonent yi.»
16:15	Noonu Yeesu ne leen: «Waaye yéen, ku ngeen may teg?»
16:16	Ci kaw loolu Simoŋ Piyeer tontu ne: «Yaa di Almasi bi, Doomu Yàlla Aji Dund ji.»
16:17	Yeesu tontu ko: «Barkeel ñeel na la, Simoŋ doomu Yunus, ndaxte du nit moo la xamal lii, waaye sama Baay bi nekk ci kaw.
16:18	Te maa ngi lay wax lii: yaa di Piyeer, te ci kaw doj wu réy woowu laay samp mbooloom ñi ma gëm, te dooley dee du ko manal dara.
16:19	Dinaa la jox caabiy nguuru Yàlla Aji Kawe ji; li nga yeew ci àddina, dees na ko yeew ci asamaan; li nga yiwi ci àddina dees na ko yiwi ci asamaan.»
16:20	Noonu Yeesu dénk taalibe yi bu wóor ne leen: «Buleen wax kenn ne, maay Almasi bi.»
16:21	Li dale ci jamono jooja, Yeesu tàmbali na xamal taalibeem yi ne, war na dem Yerusalem, daj fa coono yu bare, jóge ca njiit ya, ca saraxalekat yu mag ya ak ca xutbakat ya; ñu rey ko, mu dekki ca ñetteelu fan ba.
16:22	Bi mu waxee ba noppi, Piyeer woo ko ci pegg, bëgg koo yedd ne ko: «Yàlla tere, Boroom bi, loolu du la dal.»
16:23	Waaye Yeesu woññiku, daldi ne Piyeer: «Sore ma Seytaane, bu ma xatal; yëfi nit ngay fonk, waaye du yëfi Yàlla.»
16:24	Gannaaw loolu Yeesu ne taalibeem ya: «Ku bëgg a aw ci samay tànk, na bàyyi boppam, te gàddu bant bi ñu ko war a daaj, door a topp ci man.
16:25	Ndaxte koo xam ne bëgg ngaa rawale sa bakkan, dinga ko ñàkk, waaye ku ñàkk sa bakkan ngir man, jotaat ko.
16:26	Te it moom àddina sépp lu muy jariñ nit, bu ñàkkee bakkanam? Te nit, lu mu war a weccee bakkanam?
16:27	Ndaxte Doomu nit ki dina ñëw ci ndamul Baayam, ànd ak ay malaakam; bés booba dina delloo ku nekk ay jëfam.
16:28	Ci dëgg maa ngi leen koy wax, am na ñi fi taxaw, ñoo xam ne duñu dee, te gisuñu Doomu nit ki ñëw ci nguuram.»
17:1	Juróom-benni fan gannaaw gi, Yeesu àndoon na ak Piyeer, Saag ak Yowaana rakkam, yóbbu leen fu wéet ci tund wu kawe lool.
17:2	Mu soppiku fa seen kanam, xar-kanamam di melax nib jant, te ay yéreem weex ni leer.
17:3	Naka noonu ñu gis yonenti Yàlla Musaa ak Iliyas, di waxtaan ak Yeesu.
17:4	Piyeer nag daldi wax Yeesu ne ko: «Sang bi, bég nanu ci sunu teew fii; soo ko bëggee, dinaa fi defar ñetti mbaar, benn yaw, benn Musaa ak benn Iliyas.»
17:5	Waaye bi muy wax, niir wu leer muur leen, te baat jib ca niir wa naan: «Kii mooy sama Doom ji ma bëgg, ci moom laa ame bànneex; dégluleen ko.»
17:6	Bi taalibe yi déggee baat bi, ñu ne nërëm ci suuf, daldi tiit lool.
17:7	Waaye Yeesu jegeñsi, laal leen naan: «Jógleen, buleen ragal dara.»
17:8	Noonu ñu xool ci kaw, waaye gisatuñu kenn ku dul Yeesu rekk.
17:9	Bi loolu amee ñu wàcc ca tund wa. Bi ñuy wàcc nag, Yeesu sant leen ne: «Buleen nettali kenn li ngeen gis, ba kera Doomu nit ki dekki.»
17:10	Noonu taalibe ya laaj ko: «Lu tax xutbakat ya nag di wax ne, Iliyas mooy jëkk a ñëw?»
17:11	Yeesu tontu leen ne: «Waaw dëgg la, Iliyas war na ñëw, jubbanti lépp.
17:12	Teewul maa ngi leen di wax ne, Iliyas ñëw na te xàmmiwuñu ko, waaye def nañu ko la leen neex. Noonu it dañoo nar a sonal léegi Doomu nit ki.»
17:13	Ndax wax jooju nag, taalibe ya xam ne, ci mbirum Yaxya la leen doon wax.
17:14	Bi nga xamee ne wàcc nañu, ba ñëw ca mbooloo ma, genn góor ñëw ci moom, sukk
17:15	naan: «Sang bi, yërëmal sama doom, ndaxte mu ngi say, di am coono bu metti; léeg-léeg mu daanu ci safara, léeg-léeg mu daanu ci ndox.
17:16	Indi naa ko ci say taalibe, waaye mënuñu koo faj.»
17:17	Noonu Yeesu tontu ne: «Yéen niti jamono jii, yéen ñi gëmadi te dëng, ba kañ laa war a nekk ak yéen, ba kañ laa leen di war a muñal?» Mu ne leen, «Indil-leen ma xale bi fii.»
17:18	Noonu Yeesu tëkku rab wa, rab wa génn ca xale ba, mu daldi wér ca saa sa.
17:19	Bi loolu amee taalibe ya ñëw ci Yeesu, laaj ko ci pegg: «Lu tax nun mënunu woon a dàq rab wi?»
17:20	Yeesu tontu leen ne: «Seen ngëm gu néew a tax. Ci dëgg maa ngi leen koy wax, su ngeen amee ngëm gu tuuti sax niw peppu fuddën, kon dingeen ne tund wii: “Jógeel fii, toxu fale,” te dina fa dem, ba dara du leen të.»
17:22	Bi ñuy wër diiwaanu Galile nag, Yeesu ne leen: «Léegi ñu jébbal Doomu nit ki ci loxoy nit ñi;
17:23	dinañu ko rey, mu dekki ca ñetteelu fan ba.» Bi ko taalibe ya déggee, ñu am naqar lool.
17:24	Gannaaw loolu Yeesu ak taalibe ya ñëw Kapernawum. Bi ñu fa àggee nag, laajkati warugaru kër Yàlla ga ñëw ci Piyeer ne ko: «Ndax seen kilifa du fey posetu ñaari daraxma ngir warugar wi?»
17:25	Piyeer ne leen: «Aaŋkay!»Ba ñu eggee kër ga nag, Yeesu jëkk a wax ne Piyeer: «Waaw lu ciy sa xalaat, Simoŋ? Buuri àddina si, ñan lañuy laaj juuti walla galag? Seeni doom walla ñi bokkul ci njaboot gi?»
17:26	Piyeer tontu ko ne: «Xanaa ñi bokkul ci kër gi.» Yeesu ne ko: «Kon doom yi nag mucc nañu ci.
17:27	Waaye bëgguma nu naqaral leen; kon demal sànni oos ca dex ga te nga génne jën wa jëkk a xëcc. Boo ubbee gémmiñam, dinga ca gis posetu estateer. Jël ko nag, jox leen ko ngir man ak yaw.»
18:1	Ca waxtu woowu taalibe ya ñëwoon nañu ci Yeesu, laaj ko: «Kan moo gën a màgg ci nguuru Yàlla mi nekk ci kaw?»
18:2	Noonu Yeesu woo xale, teg ko ci seen biir,
18:3	ne leen: «Ci dëgg maa ngi leen koy wax, su ngeen woññikuwul ci Yàlla, ba mel niy xale, dungeen dugg mukk ci nguuru Yàlla Aji Kawe ji.
18:4	Kuy suufeelu nag, ba mel ni xale bii, kooku mooy ki gën a màgg ci nguuru Yàlla Aji Kawe ji.
18:5	Te it ku nangu ci sama tur xale bu mel ni kii, man mii nga nangu.
18:6	Waaye ku yóbbe bàkkaar kenn ci ñi gën a tuuti ñi ma gëm, li gën ci moom mooy ñu takk doj wu réy ci baatam, sànni ko ca fa gën a xóot ca géej ga.
18:7	«Yaw àddina dinga torox ndax say fiir yiy yóbbe nit bàkkaar. Fiir mënta ñàkk, waaye toroxte dal na nit ki koy lal.
18:8	Boo xamee ne sa loxo mbaa sa tànk mu ngi lay yóbbe bàkkaar, dagg ko, sànni ko fu sore. Ndaxte nga lafañ walla ñàkk loxo te dugg ci dund gu wóor gi, moo gën ci yaw, nga am ñaari loxo walla ñaari tànk, te ñu sànni la ci safara su dul fey mukk.
18:9	Boo xamee ne sa bët mu ngi lay yóbbe bàkkaar, luqi ko, sànni ko fu sore. Ndaxte nga patt te dugg ci dund gu wóor gi, moo gën ci yaw, nga am ñaari bët, te ñu sànni la ci safara.
18:10	«Te it wottuleen a xeeb kenn ci ñi gën a tuuti, ndax kat seeni malaakaa ngi sax ci jataayu sama Baay bi nekk ci kaw. Maa leen wax loolu.
18:12	«Luy seen xalaat ci lii? Su fi amoon nit ku am téeméeri xar, te benn ci ñoom réer, lu muy def? Ndax du bàyyi ca parlukaay ba juróom-ñeent-fukki xar ya ak juróom-ñeent, te dem wuti ma réer?
18:13	Bu ko gisee, mbég mi mu am ci moom mooy ëpp mbég, mi mu am ci juróom-ñeent-fukki xar ya ak juróom-ñeent ya réerul.
18:14	«Noonu it seen Baay bi nekk ci kaw bëggul kenn ci ñi gën a tuuti sànku.
18:15	«Te lii itam, bu sa mbokk defee bàkkaar, demal yedd ko, yéen ñaar rekk. Bu la dégloo, kon gindi nga sa mbokk.
18:16	Waaye bu la dégluwul, àndal ak kenn mbaa ñaar, ngir mbir mi dëggu ci li ko ñaar walla ñett seede.
18:17	Bu leen dégluwul ñoom itam, wax ko mbooloom ñi gëm. Bu dégluwul mbooloo ma nag, nga teg ko ni ku gëmul Yàlla mbaa ab juutikat.
18:18	Ci dëgg maa ngi leen koy wax, lépp lu ngeen yeew ci àddina, dees na ko yeew ci asamaan, te lépp lu ngeen yiwi ci àddina, dees na ko yiwi ci asamaan.
18:19	«Maa ngi leen koy wax it, bu ñaar ci yéen déggoo ci àddina, ngir ñaan lu mu man a doon, sama Baay bi nekk ci kaw dina leen ko may.
18:20	Ndaxte fu ñaar walla ñetti nit booloo ci sama tur, maa ngi ci seen biir.»
18:21	Noonu Piyeer ñëw ci Yeesu, laaj ko: «Boroom bi, bu ma sama mbokk tooñee, ñaata yoon laa ko war a baal? Xanaa ba ci juróom-ñaari yoon?»
18:22	Yeesu tontu ko ne: «Waxuma la ba ci juróom-ñaari yoon, waaye ba ci juróom-ñaar-fukki juróom-ñaari yoon.
18:23	«Loolu moo tax nguuru Yàlla Aji Kawe ji dafa mel ni buur bu bëgg a waññ alalam ak ay jaraafam.
18:24	Ba mu tàmbalee waññ nag, ñu indil buur ba ku ko ameel ay milyoŋ yu baree-bare,
18:25	waaye jaraaf ja amul lu mu feye. Kon nag sangam santaane, ñu jaay ko moom ak jabaram ak ay doomam ak lépp lu mu am, ngir fey bor ba.
18:26	Kon jaraaf ja daanu ciy tànkam ne ko: “Muñal ma, dinaa la fey lépp.”
18:27	Noonu sangam yërëm ko, bàyyi ko, baal ko bor ba.
18:28	«Bi loolu amee jaraaf ja génn, gis benn moroomu jaraafam bu ko ameel ay junni. Mu daldi ko jàpp, poñe ko ne ko: “Fey ma li nga ma ameel.”
18:29	Kon moroomam daanu ci suuf, ñaan ko ne: “Muñal ma, dinaa la fey.”
18:30	Waaye moom nanguwu ko, mu dem, tëj ko kaso, ba kera mu fey li mu ko ameel.
18:31	«Bi ay moroomam gisee loolu nag, ñu am naqar wu réy, daldi dem, xamal seen sang li xew lépp.
18:32	Sang ba nag woolu jaraaf ba ne ko: “Yaw jaraaf ju soxor nga! Baal naa la sa bor bépp, ndaxte tinu nga ma.
18:33	Lu tax yaw itam yërëmoo sa moroom, ni ma la yërëme?”
18:34	Noonu sang ba mer, jébbal ko ñiy fitnaale ca kaso ba, ba kera muy fey li mu ko ameel lépp.
18:35	«Noonu la leen sama Baay bi ci kaw di def, bu ngeen baalul ku nekk seen mbokk ak xol bu sedd.»
19:1	Bi nga xamee ne Yeesu wax na loolu ba noppi, mu jóge Galile, dem ci wàllu réewu Yawut yi, gi féete ci gannaaw dexu Yurdan.
19:2	Mbooloo mu bare topp ko, mu faj leen fa.
19:3	Bi mu fa nekkee, ay Farisen ñëw ci moom, bëgg koo fiir; ñu ne ko: «Ndax jaadu na nit fase jabaram, saa su ko neexee?»
19:4	Yeesu tontu leen ne: «Xanaa jànguleen ne, ca njàlbéen ga Aji Bind ji sàkk na leen, kii góor, kii jigéen,
