1:1	Yaw Teyofil, téere bu jëkk, ba ma bindoon, ëmb na lépp li Yeesu tàmbali woon a jëf ak a jàngale,
11:17	Gannaaw nag Yàlla jagleel na leen may, gi mu nu mayoon, bi nu gëmee Yeesu Kirist Boroom bi, man maay kan, bay tebbi àtteb Yàlla?»
11:18	Bi ñu déggee loolu, amuñu dara lu ñu ca teg, ñu daldi màggal Yàlla ne: «Yàlla nag may na ñi dul Yawut it ñu tuub seeni bàkkaar, ba am dund gu wóor gi.»
11:19	Ñi tasoon nag ndax fitna, ji amoon gannaaw Ecen, ñu dem ba diiwaanu Fenisi, ci dunu Sipar ak ca dëkku Ancos, di wax kàddu gi, waaye yemale ko ci Yawut yi.
11:20	Moona amoon na ci ñoom ay niti Sipar ak dëkku Siren, ñu ñëw ci Ancos, ba seen wax law ci Gereg yi it, ñu di leen xamal xebaar bu baax bu Yeesu Boroom bi.
11:21	Te loxob Boroom bi ànd ak ñoom, ba mbooloo mu mag gëm te woññiku ci Boroom bi.
11:22	Ba mbir ma siiwee, ba àgg ci noppi mbooloom ñi gëm ci Yerusalem, ñu yebal Barnabas ba Ancos.
11:23	Bi mu agsee nag, ba gis yiw, wi leen Yàlla may, mu bég ci te di leen xiir, ñu wàkkirlu ci Boroom bi te dogu ci.
11:24	Ndaxte nit ku baax la woon te fees ak Xel mu Sell mi ak ngëm; noonu mbooloo mu bare dolliku ci Boroom bi.
11:25	Gannaaw loolu Barnabas dem ca dëkku Tars, di wut Sool.
11:26	Bi mu ko gisee, mu indi ko Ancos. Noonu atum lëmm ñu bokk ak mbooloom ñi gëm, di jàngal nit ñu bare. Te ci Ancos lañu jëkk a tudde taalibe ya Gaayi Kirist.
11:27	Ca fan yooyu ay yonent jóge Yerusalem, ñëw Ancos.
11:28	Kenn ci ñoom tudd Agabus jóg, mu yégle jaarale ko ci Xelu Yàlla mi ne, xiif bu metti dina daj àddina sépp. Loolu nag amoon na ca ayug buur bu ñuy wax Këlódd.
11:29	Kon taalibe ya fas yéenee sàkk ndimbal, jëme ca bokk ya dëkk diiwaanu Yude, ku nekk ak sa kem-kàttan.
11:30	Noonu lañu def nag, teg ko ci loxoy Barnabas ak Sool, yónnee ko njiit ya.
12:1	Ca jamono jooja Erodd buur ba jàppoon na ay nit ci mbooloom ñi gëm, ngir fitnaal leen.
12:2	Noonu mu daldi jàpp Saag, doomu ndeyu Yowaana, mu reylu ko ci jaasi.
12:3	Bi mu gisee nag ne, mbir moomu neex na Yawut ya, mu daldi jàpp it Piyeer; fekk loolu daje ak bési màggalu Yawut, ga ñuy wax Mburu ya amul lawiir.
12:4	Bi mu ko jàppee, mu tëj ko kaso, teg ko ci loxoy ñeenti mboolooy xarekat, ngir ñu wottu ko, fekk mbooloo mu ci nekk di ñeenti nit; amoon na yéeney yóbbu ko ci kanamu Yawut ya gannaaw màggalu bésu Jéggi ba.
12:5	Noonu ñuy wottu Piyeer ca kaso ba, waaye mbooloom ñi gëm di ko ñaanal Yàlla ak seen xol bépp.
12:6	Bi Erodd nekkee ci tànki indilu ko, ca guddi googa yeewoon nañu Piyeer ak ñaari càllala, muy nelaw diggante ñaari xarekat, te ay xarekat di wottu buntu kaso ba.
12:7	Ca saa sa malaakam Boroom bi ñëw, te leer ne ràyy ca néeg ba. Malaaka ma dóor Piyeer ci wetam, yee ko ne ko: «Jógal bu gaaw!» Noonu jéng ya rot ciy loxoom.
12:8	Malaaka ma ne ko: «Takkal sa geño te sol say dàll.» Mu def ko. Malaaka ma ne ko: «Solal sa mbubb te topp ci man.»
12:9	Piyeer génn, topp ca malaaka ma, fekk gëmul sax ne lu am la, waaye mu yaakaar ne peeñu la.
12:10	Noonu ñu weesu wottukat bu jëkk ba ak ba ca tegu, ñu agsi ca buntu weñ, ba jëm ca dëkk ba, mu daldi ubbikul boppam ci seen kanam. Ñu génn nag, jaar ci benn mbedd, malaaka ma daldi ko bàyyi.
12:11	Bi xelam dellusee ci moom Piyeer ne: «Léegi xam naa ci lu wóor ne, Boroom bi yónni na malaakaam, musal ma ci loxoy Erodd ak li ma Yawut ya yéene woon lépp.»
12:12	Mu rabal xelam ci loolu, daldi dem kër Maryaama, ndeyu Yowaana, mi ñuy wooye Màrk, fekk ñu bare booloo fa, di ñaan ci Yàlla.
12:13	Noonu Piyeer fëgg buntu kër ga, te mbindaan mu tudd Rodd wuyusi ko.
12:14	Mu xàmmi baatu Piyeer, bég ci, ba fàtte koo ubbil, waaye mu daw ci biir, xamle ne Piyeer a nga ca bunt ba.
12:15	Ñu ne ko: «Xanaa dangaa dof.» Waaye mu dëgër ci li mu wax. Noonu ñu ne ko: «Xanaa malaakaam la.»
12:16	Fekk Piyeer di gën a fëgg. Noonu ñu tijji, gis ko, daldi waaru.
12:17	Piyeer taf loxoom ci gémmiñam, ngir ñu noppi, daldi leen nettali, ni ko Boroom bi génnee ca kaso ba. Mu ne leen: «Tee ngeen jottali ko Saag ak bokk ya.» Bi mu ko waxee, mu jóge fa, dem feneen.
12:18	Bi bët setee nag, yengu-yengu bu réy am na ca xarekat ya, ñu ne: «Ana Piyeer?»
12:19	Noonu Erodd wutlu ko, waaye gisu ko. Kon mu àtte wottukat ya, joxe ndigalu rey leen. Bi loolu amee Erodd jóge ci diiwaanu Yude, dem dëkku Sesare, toog fa.
12:20	Fekk mu nekk ci xëccoo bu tàng ak waa dëkki Tir ak Sidon. Naka noona ñu ànd, bëgg koo gis. Ñu neexal Balastus, bëkk-néegu buur ba, di ñaan jàmm, ndaxte réewu buur ba moo doon dundal seen bos.
12:21	Ca bés ba ñu jàpp nag Erodd sol mbubbi buuram, toog ca jal ba ca àttekaay ba, di leen yedd ak a dénk.
12:22	Noonu mbooloo mi di yuuxu naan: «Lii baatu Yàlla la, du baatu nit!»
12:23	Ca saa sa nag, gannaaw màggalul Yàlla, malaakam Boroom bi fàdd ko te ay sax dugg ko, ba mu dee.
12:24	Moona kàddug Boroom bi di gën a màgg tey law.
12:25	Naka Barnabas ak Sool, bi ñu matalee seen liggéey, ñu jóge Yerusalem, ñibbi, ànd ak Yowaana mi tudd Màrk.
13:1	Amoon na ci mbooloom ñi gëm, mi nekk dëkku Ancos, ay yonent ak ay jàngalekat: maanaam Barnabas, Simeyon ku ñu dàkkentale Niseer, Lusiyus mi dëkk Siren, Manayen mi yaroondoo ak Erodd boroom diiwaan ba, ak Sool.
13:2	Am bés nag, bi ñuy jaamu Boroom bi ak di woor, Xel mu Sell mi ne: «Beral-leen ma Barnabas ak Sool ngir liggéey, bi ma leen wooye.»
13:3	Bi ñu ko déggee, ñu daldi woor ak a ñaan, teg leen ay loxo, ba noppi bàyyi leen ñu dem.
13:4	Noonu Xel mu Sell mi yónni leen. Ñu dem nag ci dëkku Selusi, dugg fa gaal, jëm ci dun bu ñuy wax Sipar.
13:5	Bi ñu teeree ca dëkku Salamin nag, ñu yégle fa kàddug Yàlla ca jàngub Yawut ya. Ku tudd Yowaana ànd ak ñoom, di leen jàpple ci liggéey bi.
13:6	Noonu ñu jaar ci dun bépp, ba egg dëkku Pafos. Foofa ñu gis luxuskat bu tudd Bar-Yeesu, di Yawut bu mbubboo turu yonent.
13:7	Mu bokk ci gàngooru boroom réew ma tudd Sersiyus Poolus, di nit ku neex xel. Moom nag mu woolu Barnabas ak Sool, ngir bëgg a dégg kàddug Yàlla.
13:8	Waaye Elimas, boroom xam-xam bu ñuul bi --ndaxte loolu la turam di tekki — di leen dogale, ngir bañ boroom réew ma gëm.
13:9	Ci kaw loolu Sool, mi tudd it Pool, daldi fees ak Xel mu Sell mi; mu xool ko jàkk,
13:10	ne ko: «Yaw mi fees ak fen ak lu bon, di doomu Ibliis, tey noonu lépp lu jub, ndax doo bàyyee dëngal yoon yu jub yu Boroom bi?
13:11	Léegi loxob Boroom bi dina dal sa kaw, te dinga gumba, ba dootuloo gis jant bi ab diir.» Ca saa sa nag ay bëtam muuru, mu daldi tàbbi cig lëndëm, muy làmbatu, di wut ku ko wommat.
13:12	Ba boroom réew ma gisee li xew nag, mu daldi gëm, di yéemu ci yoonu Boroom bi.
13:13	Naka noona Pool ak ñi mu àndal jóge Pafos, jaar ci géej, jëm dëkku Peers ci réewu Pamfili. Yowaana nag tàggoo ak ñoom, dellu Yerusalem.
13:14	Waaye ñoom ñu jóge Peers, aw ca yoon wa, ba ñëw dëkku Ancos ci diiwaanu Pisidi. Bésu noflaay ba nag ñu dugg ca jàngu ba, toog.
13:15	Bi ñu jàngee yoonu Musaa ak yonent ya, njiiti jàngu ba yónnee ca ñoom ne leen: «Bokk yi, bu ngeen amee lu ngeen di dénk mbooloo mi, waxleen ko.»
13:16	Noonu Pool jóg, tàllal loxoom ne leen: «Yéen bokki Israyil ak yéen ñi ragal Yàlla, dégluleen!
13:17	Yàllay bànni Israyil tànn na sunuy maam, di yokk xeet wa, bi ñuy ganeyaan ci Misra; ba noppi mu génne leen fa ak kàttanu loxoom.
13:18	Diirub ñeent-fukki at mu di leen muñal ca màndiŋ ma.
13:19	Gannaaw loolu faagal na juróom-ñaari xeet ci réewu Kanaan, ba sunuy maam donn réew ma.
13:20	Loolu lépp xew na ci diirub ñeenti téeméeri at ak juróom-fukk. «Gannaaw loolu mu jox leen ay àttekat, ba ci yonent Yàlla Samwil.
13:21	Booba ñuy ñaan buur, te Yàlla jox leen Sóol, doomu Kis ci giiru Ben-yamin, muy seen buur diirub ñeent-fukki at. Gannaaw ga mu jële ko fa,
13:22	dellu falal leen buur bu tudd Daawuda, mu seedee ko nii: “Gis naa Daawuda, doomu Yese, ku ma neex ci sama xol, te dina def lépp luy sama coobare.”
13:23	«Noonu ci askanam Yàlla indil na bànni Israyil Musalkat bi Yeesu, ci ni mu ko dige woon.
13:24	Laata muy ñëw nag, Yaxya daan na waare, ne bànni Israyil gépp, ñu tuub seeni bàkkaar, te mu sóob leen ci ndox.
13:25	Te ba Yaxyay jeexal sasam, mu ne: “Ku ngeen may teg? Duma Ki war a ñëw; waaye am na kuy ñëw sama gannaaw, koo xam ne kii yeyoowumaa tekki ay dàllam.”
13:26	«Bokk yi, yéen askanu Ibraayma ak yéen ñi ragal Yàlla, kàddug mucc gi ci nun la wàcc.
13:27	Waa Yerusalem ak seeni kilifa xàmmiwuñu woon Yeesu te xamuñu woon waxu yonent, yi ñuy jàng bésu noflaay bu nekk; teewul ñu amal waxu yonent yi, ci li ñu àtte Yeesu, ba daan ko.
13:28	Yoon dabu ko fenn, moona ñaan nañu Pilaat, mu reylu ko.
13:29	Noonu ñu def lépp lu yonent yi bindoon ci mbiram, ba noppi ñu wàcce ko ca bant ba, tàbbal ko ci bàmmeel.
13:30	Waaye Yàlla dekkal na ko,
13:31	te diirub ay fan yu bare feeñu na ñi àndoon ak moom, jóge diiwaanu Galile, dem Yerusalem; léegi nag ñooy ay seedeem ci wetu xeet wi,
13:32	te nu ngi leen di xamal xebaar bu baax ne leen, li Yàlla digoon sunuy maam,
13:33	def na ko ngir nun seeni sët, ci li mu dekkal Yeesu. Moom lañu bindoon ci ñaareelu saaru Sabóor ne:“Yaa di sama Doom,maa di sa Baay tey.”
13:34	Te it li ko Yàlla dekkal, ba mu bañatee jaar ci dee, te suuf du ko lekk mukk, moom la Yàlla wax ne:“Dinaa la may barke yu sell te wóor,yi ma digoon Daawuda.”
13:35	Moo tax mu waxaat feneen ne:“Doo bàyyi sa Waa ju sell, mu yàqu.”
13:36	Ndaxte bi Daawuda defee coobareg Yàlla ci jamonoom, mu faatu, ñu suul ko, mu fekki ay maamam, suuf lekk ko.
13:37	Waaye Ki Yàlla dekkal, yaramam seeyul.
13:38	«Kon nag bokk yi, nangeen xam ne, ci moom Yeesu nu ngi leen di yégal mbaalug bàkkaar yi. Te fépp fu yoonu Musaa tële woon a àttee nit ni ku jub,
13:39	fa la Yeesu di àttee ni ku jub képp ku ko gëm.
13:40	Wottuleen nag ba li yonent yi bindoon bañ leen a dal, ci li ñu ne:
13:41	“Yéen ñiy xeebaate, gis leen lii,ngeen yéemu ba far;ndaxte dinaa def ci seen jamono jëf,joo xam ne su ngeen ko déggee sax,dungeen ko gëm.”»
13:42	Bi ñuy génn nag ca jàngu ba, Yawut ya ñaan leen, ñu baamtu wax ja ca bésu noflaay ba ca tegu.
13:43	Te bi mbooloo ma tasee, ay Yawut yu bare ak ñi tuuboon ci yoonu Yawut te ragal Yàlla, topp ci Pool ak Barnabas. Ñuy diisoo ak ñoom, di leen xiir, ñu wàkkirlu ci yiwu Yàlla.
13:44	Noonu bésu noflaay ba ca tegu, daanaka waa dëkk bépp daje, ngir déglu kàddug Yàlla.
13:45	Waaye bi Yawut yi gisee mbooloo ma, ñu daldi fees ak kiñaan, di weddi li Pool di wax te di ko xas.
13:46	Bi loolu amee Pool ak Barnabas ne leen ci lu bir: «Yéen lanu war a jëkk a yégal kàddug Yàlla, waaye gannaaw gàntu ngeen ko, ba àtte seen bopp ne, yeyoowuleen dund gu dul jeex gi, kon nu ngi woññiku ci ñi dul Yawut.
13:47	Ndaxte moom la nu Boroom bi sant ci li mu naan:“Samp naa la, nga nekk leeru ñi dul Yawut,ngir nga yóbbu mucc gi, mu daj cati àddina.”»
13:48	Ñi dul Yawut nag, bi ñu déggee loolu, daldi bég tey màggal kàddug Boroom bi; te ñépp ñu jagoo dund gu dul jeex daldi gëm.
13:49	Noonu kàddug Boroom bi di law ci diiwaan bépp.
13:50	Waaye Yawut ya xiir ay jigéen, ñi woomle te farlu ci diine, ñoom ak magi dëkk ba, ñu fitnaal Pool ak Barnabas, ngir génne leen réew ma.
13:51	Waaye Pool ak Barnabas daldi yëlëb seen pëndu tànk, ngir dëggal seen weddi, jëm dëkku Ikoñum.
13:52	Naka taalibe yi nag, ñu fees ak mbég ak Xel mu Sell mi.
14:1	Bi Pool ak Barnabas nekkee Ikoñum nag, ñu dugg ci jàngub Yawut ya, ni ñu ko daan defe; ñuy waare, ba mbooloom Yawut ak Gereg mu bare gëm.
14:2	Waaye Yawut yu nanguwul yi ñoo jógloo ñi dul Yawut, di ñaawal seen njort ci bokki taalibe yi.
14:3	Pool ak Barnabas nag sax nañu ci Ikoñum lu yàgg, ñu wéeru ci Boroom bi, bay wax ak fit wu dëgër; te Yàlla dëggal kàddug yiwam, ba may leen, ñu def ay kéemaan ak ay firnde.
14:4	Noonu waa dëkk bi xàjjalikoo, ñii far ak Yawut yi, ñale far ak ndaw ya.
14:5	Waaye ñi dul Yawut ak Yawut yi, ñoom ak seeni kilifa, lal pexem fitnaal leen ci sànni ay doj.
14:6	Bi ko Pool ak Barnabas yégee nag, ñu daw ca diiwaanu Likawni ca dëkk ya ñuy wax Listar ak Derbë ak wàllaa ya.
14:7	Foofa ñu di fa xamle xebaar bu baax bi.
14:8	Amoon na ca Listar nag nit ku fa toog, ku ay tànkam làggi, ndax li mu judduwaale lafañ te musul a dox.
14:9	Moom nag muy déglu Pool miy waare. Noonu Pool xool ko jàkk, gis ne, am na ngëm ngir wér.
14:10	Mu ne ko ak baat bu dëgër: «Jógal taxaw bu jub.» Noonu nit ki ne bërét, jóg, daldi dox.
14:11	Bi mbooloo ma gisee li Pool def, ñu daldi yuuxu, ne ci làkku waa Likawni: «Yàlla yi soppiku nañu nit, wàcc ci nun.»
14:12	Noonu ñu tudde Barnabas, Sës, te tudde Pool, Ermes, ndaxte mooy ki yor wax ji.
14:13	Fekk ci buntu dëkk ba amoon na fa kër gu ñuy màggale Sës. Saraxalekat ba nag ànd ak mbooloo ma, daldi indi ca bunt ya ay yëkk ak ay caq, yi ñu defare tóor-tóor, ngir màggal leen ci tuur deretu mala.
14:14	Waaye bi ko ndaw yi Barnabas ak Sool déggee, ñu sib ko ba xotti seeni yére, ñu daldi daw, tàbbi ca mbooloo ma, di wax ci kaw ne:
14:15	«Yéen nit ñi, lu leen xiir ci lii? Nun it ay nit lanu, ñu bokk bind ak yéen. Te nu ngi leen di xamal xebaar bu baax ne leen, ngeen dëddu yëfi neen yii te woññiku ci Yàlla miy dund te sàkk asamaan, suuf, géej ak li ñu ëmb lépp.
14:16	Démb mayoon na xeet yépp, ñu aw seen yoonu bopp.
14:17	Moona noppiwul a firndeel aw meloom ci def lu baax, di leen wàcceele ci asamaan taw buy indi naataange, ba ngeen lekk ba suur, te seen xol fees ak mbég.»
14:18	Noonu ci lu jafe yey nañu mbooloo ma ak wax jooju, ba tere leen, ñu rendil leen sarax.
14:19	Waaye bi loolu wéyee amoon na ay Yawut yu jóge Ancos ak Ikoñum, ñu fàbbi mbooloo ma, sànni Pool ay doj, ba yaakaar ne dee na, ñu diri ko ba ca gannaaw dëkk ba.
14:20	Waaye taalibe ya ñëw wër ko, mu daldi jóg, duggaat ca dëkk ba. Ca suba sa nag, mu ànd ak Barnabas, dem Derbë.
14:21	Bi ñu fa àggee nag, ñu xamle fa xebaar bu baax bi, ba sàkk fa ay taalibe yu bare. Gannaaw loolu ñu dellusi Listar, Ikoñum ak Ancos,
14:22	di dooleel xeli taalibe ya, xiir leen ñu sax ci yoon wi; ñu ne leen: «Ci kaw nattu yu bare lanu war a dugge ci nguuru Yàlla.»
14:23	Ci mbooloom ñi gëm mu nekk nag, ñu tànn ci ay njiit; ba noppi ñu ñaan Yàlla ak di woor, dénk leen Boroom bi ñu gëm.
14:24	Gannaaw loolu ñu jaar diiwaanu Pisidi, dikk ci Pamfili.
14:25	Ñu yégle kàddu gi ci dëkku Peers, door a dem dëkku Atali.
14:26	Foofa nag ñu dugg gaal, jëm Ancos, fa ñu leen dénke woon ca yiwu Yàlla, ngir liggéey bi ñu àggale.
14:27	Bi ñu agsee, ñu woo mbooloom ñi gëm, nettali leen fi ñu jaar ak Yàlla fépp, ak ni mu ubbee buntu ngëm ci ñi dul Yawut.
14:28	Noonu ñu toog ak taalibe ya diir bu yàgg.
15:1	Amoon na bés ay nit jóge diiwaanu Yude, ñuy jàngal bokk yi ne leen: «Ku xaraful, ni ko aaday Musaa santaanee, doo man a mucc.»
15:2	Pool ak Barnabas nag am ak ñoom diisoo ak werante wu metti; noonu bokk yi jàpp ne, Pool ak Barnabas ak ñeneen ci ñoom war nañoo dem Yerusalem ca ndaw ya ak njiit ya, ngir leeral werante wi.
15:3	Kon nag mbooloo mi gunge leen, ñu jaar ci wàlli Fenisi ak Samari, di nettali ni ñi dul Yawut woññikoo ci Yàlla, ba bokk yépp am ca mbég mu réy.
15:4	Te bi ñu agsee Yerusalem, mbooloom ñi gëm, ndaw yi ak njiit yi teeru leen, ñu nettali leen fi ñu jaar ak Yàlla fépp.
15:5	Ci kaw loolu ñeneen, ñi gëm waaye bokk ci tariixab Farisen ya, daldi jóg ne: «Fàww ñi dul Yawut xaraf, te ñu dénk leen sàmm yoonu Musaa.»
15:6	Noonu ndaw yi ak njiit yi dajaloo, ngir seet mbir moomu.
15:7	Gannaaw werante wu bare Piyeer jóg ne leen: «Yéen bokk yi, xam ngeen ne, ca njàlbéen ga Yàlla tànnoon na ma ci yéen, ngir ma yégal ñi dul Yawut xebaar bu baax bi, ba ñu gëm.
15:8	Te Yàlla, mi xam xol yi, seede na leen ci li mu leen may Xel mu Sell mi, ni mu nu ko maye nun itam.
15:9	Gënalantewu nu ak ñoom, ci li mu sellal seen xol ci kaw ngëm.
15:10	Léegi nag lu tax ngeen di diiŋat Yàlla, ciy teg taalibe yi yen bu nu musul a àttan, nun mbaa sunuy maam?
15:11	Nun daal ci yiwu Yeesu Boroom bi lanu yaakaar a mucce, te ñoom itam, ci lañu wékku.»
15:12	Bi mu ko waxee, mbooloo mépp ne xeram, di déglu Barnabas ak Pool, ñuy nettali kéemaan ak firnde yépp, yi Yàlla def jaarale ko ci ñoom ci biir ñi dul Yawut.
15:13	Bi ñu noppee, Saag jël kàddu ga ne:
15:14	«Bokk yi, dégluleen ma! Simoŋ nettali na, ni Yàlla seetsee bu jëkk ñi dul Yawut, ngir sàkku ci ñoom xeet wu ñu tudde turam.
15:15	Te loolu sax dëppoo na ak li yonent yi tëral; ñu bind ne:
15:16	“Boroom bi nee na:Gannaaw loolu dinaa dellusi,te yékkati këru Daawuda, gi ne tasar,dinaa defar toj-toj ya,ba taxawalaat ko.
15:17	Noonu li des ci doom Aadama wut Boroom bi,maanaam xeet yi dul Yawut, ñuy tudd sama tur.
15:18	Man dinaa def loolu, man Boroom bi ko wax,te ca njàlbéen ba tey ma di ko xamle.”
15:19	«Kon nag lii mooy sama ndigal: bunu gétën ñi dul Yawut te woññiku ci Yàlla.
15:20	Waaye nu bind leen, ñu moytu ñam wu araam wu ñu tuuroo xërëm, tey moytu njaaloo, ak jur gu médd, bay naan deret ja.
15:21	Ndaxte ca njàlbéen ga ba tey am na ca dëkk bu nekk ñuy waare ci yoonu Musaa; bésu noflaay bu nekk sax dañu ciy xutba ca jàngu ya.»
15:22	Bi mu ko waxee, ndaw yi ak njiit yi ak mbooloom ñi gëm mépp fas yéenee tànn ci ñoom ay nit, yónni leen Ancos, ñu ànd ak Pool ak Barnabas. Noonu ñu tànn Yudd, mi ñuy dippee Barsabas, ak Silas, di ay njiit ca bokk ya.
15:23	Ñu jox leen bataaxal bu ne:  Yéen sunu bokk yi dul Yawut te dëkk Ancos, Siri ak Silisi, nu ngi leen di nuyu, nun seeni bokk, di ndaw yi ak njiit yi.
15:24	Dégg nanu ne, am na ay nit ñu bawoo ci nun, ñu di leen lëjal ak seeni wax, di jaxase seeni xol, te fekk sukkandikuwuñu ci lenn ndigal lu jóge ci nun.
15:25	Kon nag mànkoo nanu ci tànn ay nit, yónnee leen ko, ànd ak sunuy soppe Barnabas ak Pool.
15:26	Ñoom jaay nañu seen bakkan ngir turu Yeesu Kirist Boroom bi.
15:27	Yónni nanu nag Yudd ak Silas, ñu di leen xamal xebaar boobu ci seen gémmiñ.
15:28	Ndaxte li neex Xel mu Sell mi te neex nu, mooy nu bañ leen a teg beneen yen, lu dul dénkaane yii am njariñ,
15:29	maanaam ngeen moytu ñam wu ñu tuuroo xërëm, deretu jur gu médd ak njaaloo. Bu ngeen moytoo yëf yooyu, dingeen def lu baax. Ci jàmm.
15:30	Noonu ñu tàggoo, dem Ancos, ñu dajale mbooloo mi, jébbal leen bataaxal bi.
15:31	Ñu jàng ko nag, seen xol sedd ci doole, ji leen bataaxal bi indil.
15:32	Te Yudd ak Silas, ñi doon yonent, ñuy dooleel bokk yi, di dëgëral seen fit ak wax yu bare.
15:33	Bi loolu amee ñu toog fa ab diir, ba noppi bokk yi yiwi leen ci jàmm, ñu dellu ca ña leen yónni woon.
15:35	Waaye Pool ak Barnabas des ci Ancos, di jàngale ak di xamle xebaar bu baax bu kàddug Boroom bi, ñoom ak ñeneen ñu bare.
15:36	Gannaaw ay fan Pool ne Barnabas: «Nan dellu seeti bokk ya ca dëkk yépp, fu nu mas a yéglee kàddug Boroom bi, ba gis nu ñu def.»
15:37	Barnabas nag bëggoon na yóbbaale Yowaana, mi ñuy wax it Màrk.
15:38	Waaye Pool dafa lànk ne: «Matul nu yóbbu ki nu waccoon ca Pamfili, ba àndul woon ak nun ca liggéey ba.»
15:39	Noonu ñu xuloo, ba far tàggoo. Barnabas yóbbaale Màrk, ñu dugg gaal, jëm Sipar.
15:40	Pool tànn Silas, dem; bokk ya dénk leen ci yiwu Boroom bi;
15:41	mu jaar ci diiwaanu Siri ak Silisi, di dëgëral mboolooy ñi gëm.
16:1	Naka noona mu dikk dëkki Derbë ak Listar, fekk fa taalibe bu tudd Timote te ndeyam di Yawut bu gëm, waaye baayam di Gereg.
16:2	Te mbokk, yi nekk dëkki Listar ak Ikoñum, seedeel nañu ko lu baax.
16:3	Pool bëgg nag mu ànd ak moom, waaye ndegam Yawut yépp, ya dëkk ca wàllaa ya, xam ne baayam Gereg la woon, mu jël ko, xarafal ko.
16:4	Bi loolu amee ñuy jaar ca dëkk ya, jottali leen dénkaane, yi ndaw yi ak njiit yi nekk Yerusalem joxe, te sant leen ñu sàmm ko.
16:5	Noonu mboolooy ñi gëm di gën a dëgër ci yoon wi, tey yokku bés bu nekk.
16:6	Bi loolu amee gannaaw Xel mu Sell mi aaye na leen, ñu yégleji kàddu gi ci diiwaanu Asi, ñu daldi jaari wàlli Firisi ak Galasi.
16:7	Bi ñu agsee nag ci wetu diiwaanu Misi, ñuy jéem a dugg diiwaanu Bitini, waaye Xelum Yeesu mayuleen ko.
16:8	Ñu romb nag Misi, dem dëkku Torowas.
16:9	Noonu ci guddi Yàlla feeñu Pool ci nii: nitu Maseduwan taxaw, di ko ñaan ne ko: «Ñëwal ci Maseduwan, wallusi nu!»
16:10	Bi mu amee peeñu moomu, ca saa sa nu fexee jàll ba Maseduwan, xam ne Boroom bi moo nu woo, ngir nu xamle fa xebaar bu baax bi.
16:11	Noonu nu dugg gaal ca Torowas, jubal dunu Samotaras, jóge fa ca ëllëg sa, nu jëm teerub Neyapolis.
16:12	Bi nu fa teeree, nu jëm Filib, bi nekk dëkk bi ëpp maana ca wàll woowu ci diiwaanu Maseduwan, di it suufus Room. Nu toog fa ay fan.
16:13	Bi bésu noflaay agsee nag, génn nanu ci buntu dëkk ba, jublu ci wetu dex ga, yaakaar ne bérabu ñaanukaay la. Nu toog fa nag, di wax ak jigéen ña fa dajaloo.
16:14	Fekk am na fa jigéen juy déglu, tudd Lidi, di jaaykatu cuub, bu dëkk Catir, te mu ragal Yàlla. Noonu Boroom bi ubbi na xolam, ba mu nangu li Pool di wax.
16:15	Ci kaw loolu ñu sóob ko ci ndox, moom ak waa këram, ba noppi mu ñaan nu ne: «Bu ngeen ma jàppee ni ku takku ci Boroom bi, ganesileen ma ci sama kër.» Te mu di nu ci xiir.
16:16	Am bés, ba nuy dem nag ca ñaanukaay ba, nu daje ak jaam bu jigéen bu rabu gisaane solu, te ay sangam di jariñu lu bare ci gisaaneem.
16:17	Mu daldi topp ci Pool ak nun, di xaacu ne: «Nit ñii jaami Yàlla Aji Kawe ji lañu; ñoo leen di yégal yoonu mucc.»
16:18	Muy def noonu ay fani fan, waaye bi ko Pool xajootul, mu woññiku ne rab wa: «Sant naa la ci turu Yeesu Kirist, génnal ci moom.» Noonu rab wa ne mëll, génn ci moom.
16:19	Bi ay sangam gisee nag seen buntu wërsëg tëju, ñu daldi jàpp Pool ak Silas, di leen diri, jëme leen ca pénc ma fa kanam njiit ya.
16:20	Noonu ñu dëj leen fa mbaxanay menne naan: «Yawut yii lëjal nañu sunu dëkk,
16:21	di xamle ay aada yu nu sañul a nangu mbaa nu di ko topp, nun ñi bokk ci nguuru Room.»
16:22	Mbooloo ma it ànd ci, dal ci seen kaw; àttekat ya nag summilu seeni yére, santaane ñu dóor leen ay yar.
16:23	Noonu ñu dóor leen ay yar yu bare, tëj leen, sant boroom kaso ba, mu wottu leen bu wér.
16:24	Gannaaw jot na ndigal loolu nag, mu sànni leen ca néeg ba gën a ruqu ci biir kaso ba, jéng seeni tànk.
16:25	Ba guddi giy xaaj nag, Pool ak Silas di ñaan ak di sant Yàlla, te ñeneen ñi nekk ca kaso ba di leen déglu.
16:26	Ca saa sa suuf yengu bu metti, ba fondamaab kaso ba daanu; bunt yépp daldi ne kulbet ubbiku, te jéngi ña ñu tëj ne tell tijjiku.
16:27	Ci kaw loolu boroom kaso ba tiite ci ay nelaw, gis bunt yépp ubbiku, mu daldi bocci jaaseem, bëgg a xaru, yaakaar ne ña ñu tëj dañoo daw.
16:28	Waaye Pool wax ci kaw ne: «Bul lor sa bopp, nun ñépp nu ngi fi.»
16:29	Bi ko boroom kaso ba déggee, mu daldi laaj làmp, ne saraax dugg, daanu ci kanamu Pool ak Silas, di lox.
16:30	Mu génne leen ci biti ne leen: «Kilifa yi, lu ma war a def, ba mucc?»
16:31	Ñu tontu ko: «Gëmal Yeesu Boroom bi, kon dinga mucc, yaw ak sa njaboot.»
