1:1	Man Pool, ndawul Kirist Yeesu ci coobareg Yàlla, man ak Sosten sunu mbokk,
15:42	Noonu la ndekkitel néew yi di deme. Bu ñu suulee néew bi, dañoo ji lu yàqu. Bu dekkee, du yàqooti ba abadan.
15:43	Lu ñàkk solo lañuy suul; mu dekki ak ndam. Lu néew doole lañuy suul, mu dekki ak kàttan.
15:44	Bu ñu koy suul, yaram lay doon wu soloo woon ruu. Bu dekkee, doon yaram wu soloo ndamu Xelum Yàlla. Ndegam am na yaram wu soloo ruu, kon dina am yaram wu soloo ndamu Xelum Yàlla.
15:45	Mbind mi nee na: «Nit ku jëkk ka, Aadama, doon na boroom ruu,» waaye Aadama mu mujj mi doon na Xel muy joxe dund.
15:46	Yaram wi soloo ndamu Xelum Yàlla jiituwul; yaramu doom Aadama moo jiitu; yaramu ndam li moo ci topp.
15:47	Nit ku jëkk ka pëndu suuf la woon; ñaareelu nit ki di Kirist, mi ngi jóge asamaan.
15:48	Waa àddina yor nañu jëmmi nit, ki ñu sàkke ci suuf; noonu it ñi bokk ci asamaan dinañu yor melokaanu ki jóge ci asamaan.
15:49	Te ni nu yore melokaanu ki ñu sàkke ci suuf, noonu lanuy yoreji melokaanu ki jóge ca asamaan.
15:50	Li may wax nag bokk yi, moo di ne, sunu yaram wii mënul a am wàll ci nguuru Yàlla, te lu yàqu mënul a am wàll ci liy sax abadan.
15:51	Lii ma leen di xamal, mbóotu Yàlla la. Dégluleen, dunu jaar ci dee nun ñépp, waaye nun ñépp dinanu soppiku,
15:52	ci saa su gàtt, ci xef-ak-xippi, bu liit gu mujj gi jibee. Ndax liit gi dina jib, néew yi dekki, di dund abadan, te nun dinanu soppiku.
15:53	Yaram wu yàqu war na sol jëmm ja dul yàqooti, te yaram wiy dee sol dund gu sax abadan.
15:54	Bu li yàqu solee melokaanu li dul yàqu, te liy dee sol melokaanu liy sax abadan, kon lii ñu wax ci Mbind mi mat:«Yàlla noot na dee, ba labal ko ci ndamam.
15:55	Céy yaw dee! Ana sa ndam?Céy yaw dee! Ana sa daŋar ji ngay fitte?»
15:56	Daŋaru dee mooy bàkkaar, te dooley bàkkaar mooy Yoon wi.
15:57	Waaye jërë-jëf yaw Yàlla, ji nu jox ndam li jaarale ko ci sunu Boroom Yeesu Kirist!
15:58	Kon nag sama bokk yi ma sopp, nangeen takku, sampu ba dëgër, te gën a sawar ci liggéeyu Boroom bi, xam ne seen liggéey, bi jëm ci Boroom bi, du neen.
16:1	Léegi nag ci li jëm ci ndimbal, li ñuy sàkkal gaayi Yàlla yi, defleen li ma tëral ci mboolooy ñi gëm te nekk ci diiwaanu Galasi.
16:2	Bés bu jëkk ci ayu-bés yi, na ku nekk ber lu mu àttan, denc ko, ngir saa yu ma dikkee, ñu bañ di wër di laaj xaalis.
16:3	Su ma dikkee, dinaa dénk seen xaalis ñi ngeen tànn, yónni leen Yerusalem, boole ko ak bataaxal.
16:4	Su aajoo ma demal sama bopp, kon dinañu ànd ak man.
16:5	Gannaaw bu ma jàllee diiwaanu Maseduwan, dinaa ñëw ci yéen, ndaxte fas naa ko yéenee jàll.
16:6	Man na am ma yàgg ci yéen, jombul sax ma lollikoo fi yéen. Noonu dingeen taxawu sama yoon, fu ma man a jëm.
16:7	Ndaxte fi mu ne bëgguma leen a gis rekk, jàll, waaye yaakaar naa ne, dinaa toog ci yéen ab diir, bu neexee Boroom bi.
16:8	Ba tey dinaa toog fii ci dëkku Efes ba màggalu Pàntakot,
16:9	ndaxte Yàlla ubbil na ma bunt, ba mu ne làññ, ngir may def liggéey bu man a am muj gu rafet, te noon yu bare bëgg a gàllankoor liggéey bi.
16:10	Bu leen Timote ganesee, fexeleen ba bumu am njàqare ci seen biir, ndaxte dafay liggéeyal Boroom bi ni man.
16:11	Kon bu ko kenn xeeb. Nangeen taxawu yoonam, ba mu dellusi ci man ci jàmm, ndaxte maa ngi koy xaar ak bokk yi.
16:12	Naka Apolos sunu mbokk mi nag moom, xiir naa ko ay yooni yoon, mu ñëw ci yéen, ànd ak bokk yi. Waaye fi mu ne dëppoowul ak coobareem. Dina ñëw saa su ko manee.
16:13	Farluleen te dëgër ci ngëm, di góor-góorlu te am pasteef.
16:14	Lépp li ngeen di def, defleen ko ak mbëggeel.
16:15	Xam ngeen ne, Estefanas ak njabootam ñoo jëkk a nangu xebaar bu baax bi ci diiwaanu Akayi, te ñoo joxe seen bopp, ngir liggéeyal gaayi Yàlla yi. Kon nag bokk yi, maa ngi leen di ñaan,
16:16	ngeen nangul nit ñu mel noonu, ñoom ak képp ku ànd ak ñoom ci liggéey bi.
16:17	Bi ma Estefanas ak Fortunatus ak Akaykus seetsee, bég naa ci lool. Taxawal nañu leen ci topptoo, bi ngeen yéene woon ci man te tële ko.
16:18	Seral nañu sama xol ak seen yos itam. Kon fonkleen nit ñu mel noonu.
16:19	Mboolooy ñi gëm te nekk diiwaanu Asi ñu ngi leen di nuyu. Akilas ak Pirsil, ñu ngi leen di nuyu bu baax ci Boroom bi, ñoom ak mbooloom ñi gëm tey daje seen kër.
16:20	Bokk yépp ñu ngi leen di nuyu. Saafoonteleen ak xol bu laab.
16:21	Man Pool maa bind nuyoo bii ci sama loxob bopp.
16:22	Képp ku bañ Boroom bi, Yal na ko Yàlla alag. Boroom bi, ñëwal!
16:23	Na yiwu Boroom bi Yeesu ànd ak yéen.
16:24	Bëgg naa leen yéen ñépp ndax sunu booloo ak Yeesu Kirist.
